POST_TEXT,IMAGE,SOCIAL_COUNT,SOCIAL_COMMENTS
"NO child can grow up around so many books and NOT turn into an original thinker and extraordinary writer…

This is my home library in Mumbai (minus the 500+ books we have given away over the years.)

Growing up, I’ve seen my dad read a new book EVERY SINGLE DAY, for years. He would sit for 3-4 hours at a stretch with a pencil in one hand, and finish reading the book cover-to-cover.

Classics, history, historical fiction, anatomy, business, sci-fi, poetry - you name it, he has read it.

While staring at the shelf last night, I realised: I understand now that having books in the house is a must.

It is the duty of parents to bring tons of books into the house every year.

It is the duty of parents to read new books in front of their children and set a good example, without having to force their children to read.

It is the duty of parents to spark conversations about their new learnings at the dinner table daily.

It’s the duty of parents to buy books for their children - even if they don’t read them yet. Buy them a variety over time and let them discover their interests by trial and error.

As a final note:

I have read barely 5 books from my dad’s collection.

But what I HAVE done over the years is: Flipped through most of these books and read a few pages of whichever part caught my attention.

This random habit has - subconsciously- had a huge influence on my writing style, skills, ideas and interests.

May more kids grow up with books around them ❤️

#ShreyaWrites

Have you grown up around books? Share your home library/ book collection pictures in the comments :)

#content #writer #contentwriter #ghostwriter #linkedin
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,977,85 comments
"What if motivation and discipline, both, fail?

There's something strange about returning to work after a long Diwali weekend. At this point, not only is the month almost over, but the year is also almost over... and our goals start getting pushed to the 1st of January.

The motivation to get things done tends to fade away slowly...

And that's when discipline comes in.

In fact, I've always said that discipline >>> motivation. You do what you've got to do regardless of how you feel about it, and you keep things moving. Simple.

But, what if discipline fails too?

What if you're just not able to get yourself to move?

What if nothing feels right and any action feels worthless?

What if you feel it's easier to give up on your goals than it is to put in the work towards achieving it?

What then?

What do you do when motivation and discipline, both, FAIL?

Then, you rely on this secret third state of mind: PRESSURE.

You have to start thinking about everything that will happen when you DON'T put in the work:

> I'll lose my clients
> I'll lose followers and leads
> I'll lose all of my progress so far
> I'll have to start from zero all over again...

Sometimes, you have to let your fears attack you and pressurise you.

Because when motivation and discipline fail, it's PRESSURE that keeps you afloat and going (and non-broke). Learn to leverage this pressure tactically.

What do you do when motivation and discipline fail?

#ShreyaWrites

Wishing everyone a Happy Diwali! 🪔 Hope you had a wonderful celebration and are all set to get back to your wholesome hustle :)

#content #writer #contentwriter #ghostwriter #linkedin
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,253,33 comments
"My first VLOG is now up on YouTube! 🥳 Link in comments

#ShreyaWrites

#content #writer #contentwriter #linkedin
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,357,29 comments
"Hi! Today’s the last day of September. What’s one thing you’re most proud of achieving this month? Flex your success! ✨

#ShreyaWrites

#content #writer #contentwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,180,78 comments
"Today marks 4 years of my first post on LinkedIn (which garnered 1.5M views and turned me from a no-income college student into a freelancer)

Everyone knows that my post went viral.

Here's the story behind that viral post that no one knows... yet ;)

#ShreyaWrites

Psst... Thank you all for your support and encouragement over the last 4 years. This wouldn't have been possible without you ❤️

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,783,102 comments
"If you are scared of creating content because 'everything has already been said', I dare you to write 1 LinkedIn post and publish the same thing 2 times a week, for 2 weeks. You’ll see many new people engage with it each time, and you’ll see little-to-no people complain about the repetition.

This is also why I (need to) keep repeating my catchphrase freelancing advice - Charge in advance :)

#ShreyaWrites

P.S. If you are a Founder or Business Coach looking for help with sharing ""what's already been said"" on LinkedIn - but in YOUR way, DM me, let's chat :)

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,436,49 comments
"Your 90-second Cold DM crash course:

What is a cold DM?

How do you write one?

(With examples!)

#ShreyaWrites

Follow me on Instagram @ShreyaPattar for more such videos!

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"1,007",64 comments
"16th July 2022 - I flew from Dubai to Bangalore to shoot my first course “Going Freelance”.

And today, I am so excited to share with you - my course is now available for preorder!

Over the last 4 years, I have created tons of text and visual content; I’ve written and released 6 ebooks, and also been a part of 100+ webinars and podcasts.

Even with such “experience” as a writer, creator, speaker and educator, shooting this video course was a challenging opportunity that I am so grateful to have encountered.

A huge thanks to Arvind Arora and the Conker World Team for making me feel so at home during my time in Bangalore, and for making the creation of this course a fun learning experience.

Special thanks to the Conker Team - Dr.Prutha Bhardwaj, Anand Kumar, Daniel Raj, Shubhankar Storyteller, Prathamesh V., Meenakshi Rawat, Ananya Kamal, Aakash and Royal.

Can't wait for you to watch the course! PREORDER NOW - Link in comments!

#ShreyaWrites

P.S. Preorder now for 50% off! Price goes up soon :)

#content #writer #contentwriter #freelancing #linkedin
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,902,73 comments
"Nowadays I open LinkedIn, read a post from a freelancer, and think ""Wow, that looks like something I would have written!""

Then I realise, that was indeed something I'd written.
Perhaps a month ago; a year ago; or even 3 years ago.

Sad to see so many freelancers promising ""original content"" for their clients while stealing their own.

Anyway, at least plagiarism is proving my content is eternal :)

#ShreyaWrites

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,645,83 comments
"""What's the logical thinking behind younger generations choosing a ₹15k-per-month freelancing role over a ₹50k-per-month full-time job?""

Udit Goenka asked this thought-provoking question in a tweet recently.

Here's my response:

Full-time yr 1: ₹50k per month
Full-time yr 2: ₹60k per month
Full-time yr 3: ₹70k per month

(^ I’m overestimating here)

Freelancing yr 1: ₹15k per month
Freelancing yr 2: ₹1 Lac per month
Freelancing yr 3: ₹1.5 Lac per month per client

(^ I’m underestimating here)

The logical and rational thinking here is the POTENTIAL.

Yes, you'll likely earn more initially in a job compared to as a freelancer. But your career and financial growth in a job are fixed...

Freelancing though? Limitless potential. 

Could be earning x one month and 3x the next. 
Could also drop down to 0.2x after that, and then go up to 10x.

Forget the money, there is also a thrill, a challenge in freelancing.

There's a constant battle between freedom and self-discipline; 
between getting comfortable and pushing your limits; 
between working for fixed hours a day and staying up all night for a passion project.

Not everyone can afford the thrill/ the challenge of course.

Yet there is something so exciting about the ""Let's see what's the best I can do here"" thought process.

It's not surprising that many end up freelancing along with their job.

Let's not forget this:

You get kicked out of a job? You're jobless for weeks. Months. You have no source of income.

A client lets you go as a freelancer? You already have 3 more. And you know exactly how to make money online by yourself. You'll get another source of income.

And of course, why are YOUNGER GENERATIONS preferring freelancing?

Because time and freedom >>> money.

When you have time, you can upskill
You can spend time with your family
You can create content online
You can build an audience
You can sleep well
You can be fit
You can live.

This is also in line with the concept of the ""Time Billionaire.”

Wouldn't you, at your age of 18-25, rather be the broke you that you are, than the 70-year-old billionaire?

Why? Because you are young.

You have energy
You have time
You are ""alive"" in ways that a 70yo billionaire isn't.

This is ALSO in line with the concept of ""I didn't want to work a 9-5 so I became an entrepreneur and now I work 24x7…”

The number of hours of work doesn't matter when you're doing what YOU want to do, in YOUR own way.

In conclusion:

Preferring freelancing/ self-employment is a more logical decision by youngsters than preferring full-time employment. Regardless of the money and time involved.

It's obvious:
There is no better time to take risks than when you are young.

Take risks.

#ShreyaWrites

P.S. The picture is from a photoshoot I did while shooting my first course - and this became possible only because I started freelancing 4 years ago :)

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,"4,995",345 comments
"In August, I made up my mind to get out of my slump. Put in the work in ALL aspects possible:

- Posting content intentionally
- Being active with inbound DMs (I don't do much outreach anyway)
- Consuming the right kind of content
- Hiring people (& making quick firing decisions)
- Sleeping well
- Eating right
- Working out
- Learning how to sing a new song
- Getting out of the house often…

But I think the most important thing here is this:
I did not give up the ""normal, everyday"" life while building my business.

I did everything I wanted to do and should have done.

In fact, I think doing everything pushed me towards maximising what ""limited"" time I had for working on my business.

Like I've said before:

The ""hustle"" lies not in working hard, but in working towards EVERY SINGLE THING you should be doing for yourself every single day.

The ‘wholesome hustle’ pays off ❤️

What does your 'wholesome hustle' look like?

#ShreyaWrites

P.S. A new Wholesome September Challenge for Freelancers has now begun! Click the link in the comments to join the challenge.

#content #writer #contentwriter #linkedin #ghostwriter
…see more",https://media-exp1.licdn.com/dms/image/C4D03AQGueO3t04C4MA/profile-displayphoto-shrink_100_100/0/1657262204521?e=1672876800&v=beta&t=G13e_UwWnGFsVcdGHkYudWPTW71LYjKxA7rRXahfoIM,479,49 comments
